806,Equipment scheduling,93,,,
807,Maintenance scheduling,93,,,
808,Task scheduling/workload,93,,,
809,(general),94,,,
810,Safety,94,,,
811,Standard operating practices,94,,,
812,Pressures/demands,94,,,
813,(general),95,,,
814,Between individuals,95,,,
815,Within group(s)/organization,95,,,
816,Between groups/organizations,95,,,
817,(general),96,,,
818,(general),97,,,
819,Initial training,97,,,
820,Recurrent training,97,,,
821,Upgrade training,97,,,
822,CRM/MRM training,97,,,
823,Emergency proc training,97,,,
824,(general),98,,,
825,Oversight of personnel,98,,,
826,Oversight of operation,98,,,
827,Oversight of maintenance,98,,,
828,Equipment monitoring,98,,,
829,Parts/tools tracking,98,,,
830,Document revision tracking,98,,,
831,Oversight of reg compliance,98,,,
832,(general),99,,,
833,Operation records,99,,,
834,Personnel records,99,,,
835,Testing records,99,,,
836,Maintenance records,99,,,
837,(general),100,,,
838,Personnel performance,100,,,
839,Operational procedures,100,,,
840,Regulatory requirements,100,,,
841,Equipment requirements,100,,,
842,Information design specs,100,,,
843,Company/organization policy,100,,,
844,(general),101,,,
845,Availability of safety program,101,,,
846,Adequacy of safety program,101,,,
847,Adherence to safety program,101,,,
848,(general),102,,,
849,(general),103,,,
850,Size,103,,,
851,Reach,103,,,
852,Strength,103,,,
853,Weight,103,,,
854,Physical limitation,103,,,
855,(general),104,,,
856,Visual function,104,,,
857,Use of corrective lens,104,,,
858,Color-vision,104,,,
859,Hearing,104,,,
860,Vestibular function,104,,,
861,Tactile function,104,,,
862,(general),105,,,
863,Illness/injury,105,,,
864,Alcohol,105,,,
865,Illicit drug,105,,,
866,Prescription medication,105,,,
867,OTC medication,105,,,
868,Hypoxia/anoxia,105,,,
869,Carbon monoxide,105,,,
870,Neurological,105,,,
871,Cardiovascular,105,,,
872,Other loss of consciousness,105,,,
873,(general),106,,,
874,Physical fitness,106,,,
875,Diet,106,,,
876,Use of medication/drugs,106,,,
877,Use of alcohol,106,,,
878,Smoking,106,,,
879,Predisposing condition,106,,,
880,(general),107,,,
881,Lack of sleep,107,,,
882,Circadian rhythms or jetlag,107,,,
883,Fatigue due to work schedule,107,,,
884,(general),108,,,
885,(general),109,,,
886,Self confidence,109,,,
887,Confidence/reliance on equip,109,,,
888,Complacency,109,,,
889,Motivation/respond to pressure,109,,,
890,Personality,109,,,
891,(general),110,,,
892,Attention,110,,,
893,Task monitoring/vigilance,110,,,
894,Monitoring equip/instruments,110,,,
895,Monitoring communications,110,,,
896,Monitoring other person,110,,,
897,Monitoring other aircraft,110,,,
898,Monitoring environment,110,,,
899,(general),111,,,
900,Visual illusion/disorientation,111,,,
901,Temporal disorientation,111,,,
902,Spatial disorientation,111,,,
903,Geographic disorient (lost),111,,,
904,Situational awareness,111,,,
905,Perception,111,,,
906,(general),112,,,
907,Stress,112,,,
908,Anxiety/panic,112,,,
909,Confusion,112,,,
910,Boredom,112,,,
911,Apprehension,112,,,
912,Denial,112,,,
913,(general),113,,,
914,Memory limit,113,,,
915,Cognitive overload,113,,,
916,(general),114,,,
917,(general),115,,,
918,Qualification/certification,115,,,
919,Total experience,115,,,
920,Total experience in position,115,,,
921,Total experience w/ equipment,115,,,
922,Total instrument experience,115,,,
923,Recent experience,115,,,
924,Recent experience in position,115,,,
